t_days,r_cm,Nn_cells_per_cm3,Nt_cells_per_cm3,Ch_mols_per_liter
11.57407,0.27000,6.12295e+07,2.71862e+03,1.15502e-09
11.57407,0.27500,6.12299e+07,2.71862e+03,1.13669e-09
11.57407,0.28000,6.12303e+07,2.71862e+03,1.11877e-09
11.57407,0.28500,6.12307e+07,2.71861e+03,1.10235e-09
11.57407,0.29000,6.12311e+07,2.71861e+03,1.08625e-09
11.57407,0.29500,6.12314e+07,2.71861e+03,1.07152e-09
11.57407,0.30000,6.12317e+07,2.71861e+03,1.05703e-09
11.57407,0.30500,6.12320e+07,2.71861e+03,1.04383e-09
11.57407,0.31000,6.12323e+07,2.71861e+03,1.03079e-09
11.57407,0.31500,6.12326e+07,2.71861e+03,1.01895e-09
11.57407,0.32000,6.12329e+07,2.71861e+03,1.00722e-09
11.57407,0.32500,6.12331e+07,2.71861e+03,9.96610e-10
11.57407,0.33000,6.12333e+07,2.71861e+03,9.86059e-10
11.57407,0.33500,6.12336e+07,2.71861e+03,9.76560e-10
11.57407,0.34000,6.12338e+07,2.71861e+03,9.67080e-10
11.57407,0.34500,6.12340e+07,2.71861e+03,9.58589e-10
11.57407,0.35000,6.12342e+07,2.71861e+03,9.50082e-10
11.57407,0.35500,6.12343e+07,2.71861e+03,9.42508e-10
11.57407,0.36000,6.12345e+07,2.71861e+03,9.34889e-10
11.57407,0.36500,6.12347e+07,2.71861e+03,9.28154e-10
11.57407,0.37000,6.12348e+07,2.71861e+03,9.21347e-10
11.57407,0.37500,6.12349e+07,2.71861e+03,9.15379e-10
11.57407,0.38000,6.12351e+07,2.71861e+03,9.09318e-10
11.57407,0.38500,6.12352e+07,2.71861e+03,9.04055e-10
11.57407,0.39000,6.12353e+07,2.71861e+03,8.98681e-10
11.57407,0.39500,6.12354e+07,2.71861e+03,8.94068e-10
11.57407,0.40000,6.12355e+07,2.71861e+03,8.89329e-10
11.57407,0.40500,6.12356e+07,2.71861e+03,8.85316e-10
11.57407,0.41000,6.12357e+07,2.71861e+03,8.81166e-10
11.57407,0.41500,6.12358e+07,2.71861e+03,8.77711e-10
11.57407,0.42000,6.12359e+07,2.71861e+03,8.74107e-10
11.57407,0.42500,6.12359e+07,2.71861e+03,8.71171e-10
11.57407,0.43000,6.12360e+07,2.71861e+03,8.68078e-10
11.57407,0.43500,6.12361e+07,2.71861e+03,8.65626e-10
11.57407,0.44000,6.12361e+07,2.71861e+03,8.63011e-10
11.57407,0.44500,6.12362e+07,2.71861e+03,8.61013e-10
11.57407,0.45000,6.12362e+07,2.71861e+03,8.58847e-10
11.57407,0.45500,6.12363e+07,2.71861e+03,8.57276e-10
11.57407,0.46000,6.12363e+07,2.71861e+03,8.55533e-10
11.57407,0.46500,6.12363e+07,2.71861e+03,8.54365e-10
11.57407,0.47000,6.12364e+07,2.71861e+03,8.53022e-10
